order_id,user_id,event_date,order_sum,commission,delivery_fee
O2_0_3734,2,2025-01-30,10285.0,1021.0,0.0
O2_1_4073,2,2025-01-31,10646.0,768.0,990.0
O3_0_3062,3,2025-01-31,9913.0,937.0,0.0
O4_0_9154,4,2025-02-04,10654.0,1048.0,0.0
O4_1_4157,4,2025-02-11,7066.0,833.0,0.0
O7_0_7585,7,2025-02-10,9963.0,663.0,0.0
O9_0_9338,9,2025-01-05,10856.0,549.0,0.0
O22_0_3950,22,2025-01-02,11142.0,1367.0,0.0
O22_1_4124,22,2025-01-04,9905.0,1093.0,0.0
O22_2_1512,22,2025-01-09,9361.0,898.0,0.0
O23_0_7617,23,2025-01-05,7410.0,725.0,0.0
O25_0_4974,25,2025-01-10,11904.0,1536.0,0.0
O25_1_6917,25,2025-01-11,12611.0,1266.0,0.0
O26_0_8330,26,2025-02-27,8349.0,781.0,0.0
,28,2025-02-17,8635.0,855.0,0.0
O31_0_9053,31,2025-02-14,10734.0,1118.0,0.0
O39_0_1770,39,2025-01-10,10340.0,1272.0,0.0
O40_0_8730,40,2025-02-08,9611.0,1234.0,0.0
O40_1_8956,40,2025-02-09,8369.0,743.0,990.0
O41_0_6811,41,2025-01-14,9450.0,510.0,0.0
O41_1_7229,41,2025-01-17,13374.0,1573.0,0.0
O42_0_2605,42,2025-01-08,9236.0,847.0,0.0
O46_0_2828,46,2025-01-02,9604.0,1052.0,0.0
O49_0_8804,49,2025-02-06,10037.0,1340.0,0.0
O52_0_1793,52,2025-02-02,7883.0,707.0,0.0
O56_0_2990,56,2025-01-26,8563.0,1011.0,0.0
O58_0_6490,58,2025-02-18,4698.0,572.0,0.0
O64_0_8083,64,2025-02-17,10333.0,832.0,0.0
O66_0_1341,66,2025-02-27,13241.0,1740.0,0.0
O68_0_6760,68,2025-01-05,8746.0,1192.0,0.0
O69_0_6387,69,2025-02-18,11637.0,1195.0,1490.0
O70_0_5278,70,2025-01-23,12668.0,1347.0,0.0
O81_0_2704,81,2025-01-13,10636.0,930.0,0.0
O82_0_8009,82,2025-02-11,12990.0,1355.0,0.0
O83_0_9220,83,2025-01-17,9738.0,577.0,0.0
O84_0_1988,84,2025-01-17,13693.0,1076.0,0.0
O87_0_8099,87,2025-02-21,6817.0,759.0,0.0
O88_0_7047,88,2025-01-25,10125.0,854.0,0.0
O92_0_9941,92,2025-01-04,11046.0,978.0,0.0
O95_0_5648,95,2025-02-27,9687.0,1175.0,0.0
O101_0_7812,101,2025-02-08,9619.0,1004.0,0.0
O104_0_2388,104,2025-02-10,10241.0,813.0,990.0
O105_0_2177,105,2025-01-29,10179.0,777.0,0.0
O107_0_1105,107,2025-01-25,8021.0,953.0,0.0
O107_1_8285,107,2025-01-30,12651.0,1372.0,0.0
O109_0_5358,109,2025-02-03,7129.0,440.0,0.0
O111_0_4719,111,2025-01-23,7815.0,732.0,0.0
O114_0_9785,114,2025-01-09,10746.0,1505.0,0.0
O116_1_9591,116,2025-02-26,10321.0,1033.0,0.0
,117,2025-02-08,11726.0,986.0,0.0
O121_0_9080,121,2025-01-09,7617.0,771.0,0.0
O126_0_3461,126,2025-02-23,9908.0,1396.0,990.0
O128_0_2653,128,2025-01-29,11507.0,1238.0,0.0
O129_0_2778,129,2025-01-27,10463.0,345.0,0.0
O129_1_5431,129,2025-01-29,9512.0,972.0,0.0
O135_0_1162,135,2025-01-24,7861.0,482.0,0.0
O138_0_5624,138,2025-01-12,11103.0,1014.0,0.0
O138_1_6774,138,2025-01-15,9279.0,1023.0,0.0
O139_0_5135,139,2025-02-06,9147.0,931.0,0.0
O141_0_4864,141,2025-02-15,8952.0,670.0,0.0
O143_0_7416,143,2025-01-12,10807.0,1075.0,0.0
O147_0_9472,147,2025-02-20,10776.0,928.0,0.0
O149_0_1040,149,2025-01-19,11901.0,1597.0,0.0
O152_0_4740,152,2025-01-24,8377.0,903.0,0.0
O152_1_3800,152,2025-01-27,4965.0,353.0,0.0
O153_0_7132,153,2025-02-18,7604.0,917.0,0.0
O153_1_8922,153,2025-02-24,10337.0,1125.0,0.0
O155_0_2141,155,2025-02-23,8026.0,1040.0,0.0
O174_0_4175,174,2025-02-09,8080.0,966.0,0.0
O176_0_2238,176,2025-02-28,11659.0,1121.0,0.0
O177_0_9244,177,2025-01-21,12120.0,1881.0,0.0
O177_1_3437,177,2025-01-23,8283.0,1015.0,0.0
O178_0_7318,178,2025-02-05,11931.0,1488.0,0.0
O190_0_7410,190,2025-02-24,11807.0,1195.0,0.0
O194_0_3743,194,2025-01-18,10096.0,1077.0,0.0
O195_0_7976,195,2025-01-26,11125.0,1205.0,0.0
O200_0_2132,200,2025-02-21,9622.0,1140.0,0.0
O202_1_6141,202,2025-02-05,13478.0,1612.0,990.0
O204_0_1680,204,2025-01-25,7402.0,559.0,0.0
O210_0_4765,210,2025-01-05,10528.0,977.0,0.0
O212_0_2518,212,2025-02-10,8907.0,842.0,0.0
O212_1_5757,212,2025-02-13,7111.0,915.0,990.0
O221_0_9033,221,2025-02-02,10931.0,1387.0,0.0
O222_0_9758,222,2025-01-20,7709.0,561.0,0.0
O223_0_4630,223,2025-01-22,8526.0,733.0,0.0
O225_0_7314,225,2025-02-17,15242.0,1185.0,0.0
O226_0_5780,226,2025-01-03,10585.0,1060.0,0.0
O226_1_8291,226,2025-01-09,6679.0,911.0,0.0
O228_0_1615,228,2025-01-29,8484.0,732.0,0.0
O230_0_4191,230,2025-02-01,9289.0,1193.0,0.0
O234_0_7039,234,2025-02-12,12780.0,893.0,0.0
O236_0_9566,236,2025-02-10,6014.0,355.0,0.0
O238_0_2262,238,2025-01-26,12426.0,1117.0,0.0
O243_0_2447,243,2025-01-26,10233.0,1003.0,0.0
O244_0_1186,244,2025-01-17,9513.0,894.0,0.0
O246_0_5482,246,2025-01-13,12476.0,1029.0,0.0
O249_0_8069,249,2025-02-01,12399.0,1186.0,0.0
O249_1_4924,249,2025-02-02,9603.0,1082.0,0.0
O254_0_2096,254,2025-01-08,10933.0,1426.0,0.0
O255_0_3672,255,2025-01-21,8175.0,848.0,0.0
O257_0_5006,257,2025-01-05,6511.0,727.0,0.0
O259_0_4580,259,2025-01-22,6261.0,577.0,0.0
O261_0_2956,261,2025-02-16,7596.0,699.0,0.0
O261_1_3845,261,2025-02-21,13980.0,1496.0,0.0
O263_0_1972,263,2025-01-03,10147.0,946.0,0.0
O264_0_3941,264,2025-02-11,9721.0,1116.0,990.0
O265_0_7543,265,2025-02-16,11683.0,1255.0,0.0
O266_0_5566,266,2025-01-13,7412.0,558.0,0.0
O272_0_8498,272,2025-01-26,12367.0,945.0,0.0
O274_0_2409,274,2025-01-27,10369.0,1231.0,0.0
O275_0_9386,275,2025-01-14,9531.0,981.0,0.0
O277_0_5078,277,2025-01-20,8409.0,810.0,1490.0
O279_0_7770,279,2025-02-23,12244.0,1793.0,0.0
O286_0_3547,286,2025-01-23,6412.0,467.0,0.0
O287_0_1643,287,2025-02-11,10162.0,878.0,0.0
O292_0_1171,292,2025-02-26,11681.0,1217.0,0.0
,294,2025-01-05,,,
O294_1_2689,294,2025-01-12,8153.0,897.0,990.0
O296_0_2784,296,2025-01-06,9075.0,1072.0,0.0
O298_0_5086,298,2025-02-18,7919.0,763.0,0.0
